Date,Temperature (C),Precip Type,Humidity,Wind Speed (km/h),Pressure (millibars),Summary,Ordinal
2005-12-31,-0.0222222222,1,0.92,9.4829,1037.15,18,732311
2006-01-01,-0.0222222222,1,0.96,9.2414,1042.26,18,732312
2006-01-02,1.8055555556,1,0.99,11.0607,1045.14,17,732313
2006-01-03,2.8277777778,1,1,9.4507,1036.26,17,732314
2006-01-04,17.7777777778,1,0.96,10.8353,1035.96,17,732315
2006-01-05,22.2055555556,0,0.96,12.719,1019.62,17,732316
2006-01-06,32.0333333333,0,1,13.7494,1022.62,17,732317
2006-01-07,31.0833333333,0,0.96,10.5294,1022.57,18,732318
2006-01-08,31.9333333333,0,0.97,16.8567,1020.71,18,732319
2006-01-09,30.9722222222,1,0.97,20.1411,1037.44,18,732320
2006-01-10,-2.0111111111,1,0.99,12.1394,1038.04,18,732321
2006-01-11,-2.7555555556,1,0.87,10.2557,1034.95,16,732322
2006-01-12,-2.1444444444,1,0.92,17.5812,1029.81,16,732323
2006-01-13,3.8888888889,1,0.99,21.5257,1020.05,17,732324
2006-01-14,2.2666666667,1,0.95,29.463,1025.49,18,732325
2006-01-15,7.5055555556,1,0.99,26.8226,1027.26,17,732326
2006-01-16,2.8055555556,1,0.92,19.4327,1028.99,17,732327
2006-01-17,6.2,1,0.96,15.8263,1024.9,17,732328
2006-01-18,2.2055555556,1,0.92,33.488,1029.76,18,732329
2006-01-19,-8.3166666667,1,0.87,32.6025,1042.85,18,732330
2006-01-20,-4.95,1,0.91,9.2897,1042.65,18,732331
2006-01-21,-2.7833333333,1,0.85,15.9551,1030.55,18,732332
2006-01-22,-0.1611111111,1,0.9,13.7333,1032.52,17,732333
2006-01-23,0.1111111111,1,0.88,9.7244,1032.91,18,732334
2006-01-24,5.1666666667,1,0.81,13.8299,1032.15,18,732335
2006-01-25,2.9,1,0.95,20.2216,1032.36,18,732336
2006-01-26,2.2555555556,1,0.92,11.4149,1032.17,18,732337
2006-01-27,-0.0055555556,1,0.93,17.1787,1026.73,18,732338
2006-01-28,2.8111111111,1,0.96,17.6617,1025.82,18,732339
2006-01-29,3.8833333333,0,0.99,20.5275,1026.17,18,732340
2006-01-30,2.2666666667,1,1,12.3326,1033.65,17,732341
2006-01-31,2.6833333333,1,0.99,11.0446,1036.59,17,732342
2006-02-01,1.1388888889,1,0.95,17.0338,1024.57,18,732343
2006-02-02,4.3666666667,1,0.92,25.3092,1021.83,17,732344
2006-02-03,0.0944444444,1,0.96,19.9962,1019.18,17,732345
2006-02-04,2.2666666667,1,1,16.5991,1009.1,17,732346
2006-02-05,7.4388888889,1,1,27.5954,1016.66,18,732347
2006-02-06,5.9722222222,1,0.9,24.2305,1033.92,18,732348
2006-02-07,1.2055555556,1,0.96,9.3863,1033.21,17,732349
2006-02-08,1.1833333333,1,0.96,8.8389,1036.52,17,732350
2006-02-09,0.25,1,0.99,11.27,1038.54,18,732351
2006-02-10,1.9722222222,1,0.96,19.964,1024.64,13,732352
2006-02-11,3.1111111111,1,0.99,20.8656,1023.7,18,732353
2006-02-12,3.7222222222,0,1,26.2591,1007.41,18,732354
2006-02-13,7.6111111111,0,1,29.8333,1010.48,18,732355
2006-02-14,12.2611111111,0,0.98,23.0713,1012.04,18,732356
2006-02-15,14.0277777778,1,0.92,17.2753,1023.5,17,732357
2006-02-16,5.7333333333,1,0.93,14.1358,1021.77,17,732358
2006-02-17,14.0833333333,0,0.94,25.0677,1014.15,18,732359
2006-02-18,11.25,0,1,15.1984,1020.24,18,732360
2006-02-19,7.7111111111,1,0.99,23.9085,1021.32,18,732361
2006-02-20,5.9722222222,0,0.96,23.8924,1015.97,18,732362
2006-02-21,2.7333333333,1,0.99,13.4274,1013.51,18,732363
2006-02-22,2.6722222222,1,0.93,20.3665,1016.67,18,732364
2006-02-23,0.1111111111,1,0.89,24.955,1018.17,18,732365
2006-02-24,-2.2444444444,1,0.92,12.6868,1020.51,17,732366
2006-02-25,-2.8,1,0.91,10.8997,1024.81,17,732367
2006-02-26,-2.1166666667,1,1,27.9013,1029.18,17,732368
2006-02-27,-2.2222222222,1,0.81,25.438,1028.22,18,732369
2006-02-28,2.6277777778,1,0.9,20.8817,1028.77,17,732370
2006-03-01,11.1777777778,0,0.93,9.2414,1021.92,18,732371
